#####################################################################
# Alchemist log file - simulation started at: 2025-07-01T08:58+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.5, payload-size = 3, seed = 13.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.00130136171621 1.55e+03 1.71e+03 1.44e+03 2.60e+03 0.906 1.00 0.291 491996.7014509677 4.665366680809678E10 525998.0969215002 13199.556660191909 2.0186932204540648E9 8.837462758911373 27.0 15.8076923076923 1.0 61.00165193223488 16.0 474305.64751014597 5.336521725463476E10 519491.8800245214 1554.7445255474454 2252483.532134576 3000.0 208091.00184263004 7.937925263712119E10 11485.649962197906 186124.18091501752 8.447217976072015E10 1297.4561779303208 0.30670537644731677 32.72683574476361 0.00666741794525329
120.0013013617162 1.55e+03 1.69e+03 1.43e+03 2.64e+03 0.904 1.00 0.295 493736.5604432494 4.747133569119377E10 533680.4341339365 8.759410465659869 0.02252067358579586 8.802750446016315 26.0 16.440000000000005 1.0 58.773633544302825 15.0 479816.07230873924 5.282197327129769E10 524762.0451257796 1554.7445255474454 2252483.532134576 3000.0 207925.4255233386 7.98855475228154E10 10145.442255304359 185344.05266863556 8.398081725203542E10 1297.4561779303208 0.5679694597467487 60.809637209695566 0.007645011815021897
180.0013013617162 1.55e+03 1.70e+03 1.44e+03 2.61e+03 0.908 1.00 0.289 504599.9814598348 4.600405875358248E10 541218.0690138013 20752.814264757282 5.988581655995192E9 8.878441071323063 30.0 14.172413793103448 1.0 57.993268676827164 18.0 485726.15653686976 5.36021727300823E10 525698.800649741 1554.7445255474454 2252483.532134576 3000.0 208729.20775052666 8.07403439133016E10 10156.726406366095 187609.3015430296 8.517949872570059E10 1297.4561779303208 0.023738701095568245 0.001311432509541133 0.006312631292001765
240.0013013617162 1.55e+03 1.68e+03 1.44e+03 2.58e+03 0.904 1.00 0.295 504541.4088419894 4.602767671800757E10 540513.7256132709 6845.233966460925 5.255043142222238E8 8.870873388119067 29.0 14.67857142857143 1.0 54.44742865161296 16.0 487732.6417171451 5.291098176320805E10 526026.3566190226 1554.7445255474454 2252483.532134576 3000.0 207156.85120581527 8.075055832752168E10 9916.900086088286 186291.77007398853 8.501241952815967E10 2123.098961134012 0.021315087470121757 0.0010586722157541898 0.00651779475564722
300.0013013617162 1.55e+03 1.69e+03 1.44e+03 2.46e+03 0.907 1.00 0.291 508221.68184590107 4.621106440659975E10 546757.6041157217 54472.938864094125 2.590578849760794E10 8.90396653274683 32.0 13.258064516129037 1.0 51.91914723358196 18.0 488419.16130286455 5.41158986171049E10 533680.4341339365 1554.7445255474454 2252483.532134576 3000.0 208939.1866621718 8.150887929313307E10 10145.442255304359 185172.720458784 8.556935244595158E10 1297.4561779303208 0.30605495023942403 32.981294120961785 0.006071175473255081
360.0013013617162 1.55e+03 1.62e+03 1.42e+03 2.50e+03 0.894 1.00 0.299 526689.074355967 4.735134598429982E10 561047.6483655768 47620.88264587801 2.1838255580599625E10 8.90321927652682 32.0 13.258064516129037 1.0 47.67736551861581 17.0 506602.74146033305 5.636837400002148E10 554431.0301891319 1554.7445255474454 2252483.532134576 3000.0 208445.77254133567 8.106564678285603E10 10211.873776899727 186983.9832405494 8.586932745468237E10 1297.4561779303208 0.30460302850887366 32.731221840195346 0.00575234433837495
420.0013013617162 1.55e+03 1.62e+03 1.42e+03 2.62e+03 0.915 1.00 0.279 501922.39025797544 4.646360229024435E10 539350.1917335658 1779.8201421802203 1.938677637825538E7 8.864851126721046 30.0 14.172413793103448 1.0 58.035745737013094 20.0 483003.71779765893 5.476080489524548E10 526141.9077208771 1554.7445255474454 2252483.532134576 3000.0 207668.19325015074 8.037981137859868E10 10211.873776899727 185153.61018328264 8.498431100016763E10 1297.4561779303208 0.569343729505345 60.42019273747266 0.006583605726169884
480.0013013617162 1.55e+03 1.68e+03 1.39e+03 2.62e+03 0.903 1.00 0.296 509448.9697602159 5.001157343570984E10 547718.9222233015 9904.539990954963 1.525008718186008E9 8.854391078485328 30.0 14.17241379310345 1.0 52.25491703830181 18.0 491627.5929683038 5.830337823497333E10 540939.6954549194 1554.7445255474454 2252483.532134576 3000.0 208013.5859516041 7.917011106914517E10 12878.363317933981 184102.9606262532 8.456532522235204E10 1297.4561779303208 0.570428283067188 60.706702280731584 0.0074650329436511615
